Actual idiom,Literal Translation,English Pronounciation,English_Translation,Human Annotation & With descriptions,Image_ID
น้ำขึ้นให้รีบตัก,,,"When the water rises, scoop it up quickly.","The Thai proverb ""น้ำขึ้นให้รีบตัก"" translates to ""When the water rises, hurry to scoop it up."" It means to take advantage of an opportunity when it presents itself. The imagery involves water rising, symbolizing a fleeting chance, and the urgency to act quickly to benefit from it.",1936.png
น้ำขุ่นไว้ในน้ำใสไว้นอก,,,Keep the murky water inside and the clear water outside.,"The Thai proverb ""น้ำขุ่นไว้ใน น้ำใสไว้นอก"" translates to ""Keep the muddy water inside, let the clear water flow outside."" It means that one should keep their troubles, negative emotions, or personal issues to themselves and present a calm, positive demeanor to the outside world. This proverb emphasizes the importance of maintaining harmony and not burdening others with one's inner turmoil. 
 
 For an image representation, you might depict a serene, clear stream flowing peacefully on the surface, while beneath the surface, there are hidden, murky waters. This visual metaphor captures the essence of concealing inner struggles while showing a composed exterior.",1937.png
น้ำเชี่ยวอย่าขวางเรือ,,,Don't block the boat if the rapids are strong.,"The Thai proverb ""น้ำเชี่ยวอย่าขวางเรือ"" translates to ""Don't steer your boat against the strong current."" It advises against taking actions that go against powerful forces or situations, suggesting that it is wiser to go with the flow rather than resist and face potential harm. An image representing this proverb could depict a small boat navigating through a turbulent river, with the boatman wisely steering along with the current rather than against it.",1938.png
น้ำซึมบ่อทราย,,,Water seeps into sand pit,"The Thai proverb ""น้ำซึมบ่อทราย"" translates to ""Water seeping into a sand well"" in English. It describes a situation where small, consistent efforts or contributions gradually accumulate to create a significant impact. The imagery involves water slowly permeating through sand, symbolizing the steady and persistent nature of the effort. This proverb emphasizes patience and the value of incremental progress over time.",1939.png
น้ำตาจระเข้,,,Crocodile tears,"The Thai proverb ""น้ำตาจระเข้"" translates to ""crocodile tears"" in English. It describes a situation where someone is pretending to be sad or remorseful, but their emotions are insincere. The imagery typically involves a crocodile shedding fake tears, symbolizing deceit and false sympathy.",1940.png
น้ำตาเช็ดหัวเข่า,,,Tears wiped on the knees,"The Thai proverb ""น้ำตาเช็ดหัวเข่า"" translates to ""tears wiped on the knees"" in English. It describes a situation where someone is so deeply saddened or heartbroken that they are sitting down, bent over, and crying so intensely that their tears fall onto their knees. This imagery conveys a profound sense of sorrow and despair.",1941.png
น้ำตาตกใน,,,Tears falling inside,"The Thai proverb ""น้ำตาตกใน"" translates to ""tears falling inside"" in English. It describes a situation where someone is deeply saddened or suffering internally but does not show their emotions outwardly. The imagery for this proverb could include a person with a calm or neutral facial expression, but with a subtle hint of sadness in their eyes, perhaps with a shadow or reflection of tears within, symbolizing the hidden pain.",1942.png
น้ำตาลใกล้มด ใครจะอดได้,,,"Sugar near ants, who can resist?","The Thai proverb ""น้ำตาลใกล้มด ใครจะอดได้"" translates to ""Sugar near ants, who can resist?"" It conveys the idea that when temptation is close at hand, it is difficult to resist. For an image, you might depict a scene where ants are swarming around a pile of sugar, symbolizing the irresistible allure of something desirable that is within easy reach.",1943.png
น้ำท่วมทุ่ง,,,pedagogical,"The Thai proverb ""น้ำท่วมทุ่ง"" translates to ""Flooded fields"" in English. It describes a situation where there is an abundance of something, often to the point of excess, but it lacks substance or usefulness. Imagine a vast field inundated with water, making it appear full and abundant, yet the water itself is not beneficial for the crops. This proverb is often used to criticize someone who speaks a lot but says very little of value.",1944.png
น้ำท่วมทุ่ง ผักบุ้งโหรงเหรง,,,"Flooded fields, morning glory is scarce","The Thai proverb ""น้ำท่วมทุ่ง ผักบุ้งโหรงเหรง"" translates to ""The field is flooded, but the morning glory is sparse."" It describes a situation where there is an abundance of something, but it lacks substance or value. Imagine a vast, flooded field with only a few sparse morning glory plants scattered around. This visual metaphor highlights the contrast between quantity and quality, suggesting that despite an overwhelming presence, the essential or valuable elements are missing or insufficient.",1945.png
น้ำท่วมปาก,,,inarticulate,"The Thai proverb ""น้ำท่วมปาก"" translates to ""water flooding the mouth"" in English. It describes a situation where someone is unable to speak out or express their true feelings due to fear, pressure, or potential consequences. The imagery suggests being overwhelmed or silenced, much like how a flood of water would prevent someone from speaking.",1946.png
น้ำท่วมหลังเป็ด,,,Flooding on the duck's back,"The Thai proverb ""น้ำท่วมหลังเป็ด"" translates to ""Water flooding the back of a duck."" This proverb is used to describe a situation where someone is unaffected by a problem or difficulty that would typically trouble others. Just as a duck remains unbothered by water on its back due to its waterproof feathers, the person remains untroubled by the issue at hand. 
 
 For an image based on this proverb, you might depict a serene duck calmly floating on water, with waves or a flood around it, yet the duck appears completely unperturbed and dry on its back.",1947.png
น้ำน้อยย่อมแพ้ไฟ,,,A little water can defeat a little fire.,"The Thai proverb ""น้ำน้อยย่อมแพ้ไฟ"" translates to ""A little water cannot extinguish a fire."" This proverb means that insufficient resources or efforts are inadequate to solve a big problem. For an image representation, you might depict a small amount of water being overwhelmed by a large, blazing fire, symbolizing the futility of inadequate measures against significant challenges.",1948.png
น้ำนิ่งไหลลึก,,,Still waters run deep.,"The Thai proverb ""น้ำนิ่งไหลลึก"" translates to ""Still waters run deep"" in English. It means that a calm or quiet exterior may hide deep, complex, or intense emotions, thoughts, or capabilities. The imagery for this proverb could include a serene, placid body of water, such as a lake or a slow-moving river, with an underlying sense of depth and mystery beneath the surface.",1949.png
น้ำบ่อน้อย,,,Little Well Water,"The Thai proverb ""น้ำบ่อน้อย"" translates to ""a small pond"" in English. It is often used to describe a situation or a person with limited resources or capabilities. The imagery of a small pond suggests a confined space with limited water, symbolizing scarcity or modest means. This proverb can be used to highlight the constraints someone might face due to their limited resources or to emphasize the importance of making the most out of what little one has.",1950.png
น้ำพึ่งเรือเสือพึ่งป่า,,,"Water depends on boats, tigers depend on forests.","The Thai proverb ""น้ำพึ่งเรือเสือพึ่งป่า"" translates to ""Water relies on the boat, the tiger relies on the forest."" It signifies mutual dependence and the idea that everyone or everything relies on something else for support or survival. In a visual representation, you might depict a boat floating on water, symbolizing the boat's reliance on the water to move, alongside a tiger in a lush forest, indicating the tiger's dependence on the forest for shelter and sustenance. The imagery should convey a sense of interdependence and harmony within nature.",1951.png
น้ำมาปลากินมด น้ำลดมดกินปลา,,,"When the water rises, the fish eat the ants. When the water recedes, the ants eat the fish.","Certainly! The Thai proverb ""น้ำมาปลากินมด น้ำลดมดกินปลา"" translates to ""When the water rises, the fish eat the ants; when the water recedes, the ants eat the fish."" This proverb illustrates the cyclical nature of fortune and adversity, emphasizing that circumstances can change, and those who are powerful or fortunate today may find themselves in a vulnerable position tomorrow, and vice versa.
 
 For an image based on this proverb, you could depict a scene divided into two parts: one half showing a flooded area with fish swimming and eating ants that are struggling in the water, and the other half showing the water receded with ants swarming over fish that are stranded and vulnerable. This visual representation captures the essence of the proverb's message about the ebb and flow of fortune.",1952.png
น้ำเย็นปลาตาย,,,Cold water kills fish,"The Thai proverb ""น้ำเย็นปลาตาย"" translates to ""Fish die in cold water."" This saying suggests that even seemingly harmless or gentle situations can have harmful consequences. It implies that one should be cautious and not underestimate situations that appear benign or safe, as they can still lead to negative outcomes. 
 
 For an image representation, you might depict a serene, cold water scene with fish that appear lifeless, emphasizing the contrast between the calm appearance of the water and the hidden danger it poses to the fish.",1953.png
น้ำแยกสาย ไผ่แยกกอ,,,"Water separates the streams, bamboo separates the clumps.","The Thai proverb ""น้ำแยกสาย ไผ่แยกกอ"" translates to ""Water separates into streams, bamboo separates into clumps."" This proverb signifies the natural tendency for things to diverge or go their separate ways over time. It often reflects the inevitability of separation or the natural course of events leading to division, whether in relationships, paths, or life circumstances. For an image representation, you might visualize a river splitting into multiple smaller streams and clusters of bamboo growing apart from each other.",1954.png
น้ำร้อนปลาเป็น,,,Hot water fish,"The Thai proverb ""น้ำร้อนปลาเป็น"" translates to ""Hot water makes fish alive."" It suggests that a challenging or difficult situation can bring out the best in people, making them more alert, active, and capable. For an image representation, you might depict a fish swimming energetically in hot water, symbolizing resilience and adaptability in the face of adversity.",1955.png
น้ำร้อนปลาเป็น น้ำเย็นปลาตาย,,,"Hot water, fish live; cold water, fish die.","The Thai proverb ""น้ำร้อนปลาเป็น น้ำเย็นปลาตาย"" translates to ""Hot water makes fish live, cold water makes fish die."" This proverb suggests that sometimes harsh or challenging conditions (represented by hot water) can be more beneficial or stimulating for growth and survival, while comfortable or easy conditions (represented by cold water) can lead to complacency and negative outcomes. It emphasizes the idea that adversity can foster resilience and strength, whereas comfort can lead to stagnation and decline. 
 
 For an image based on this proverb, you might depict a scene with two contrasting environments: one with hot, bubbling water where fish are actively swimming and thriving, and another with cold, still water where fish are lifeless or struggling.",1956.png
น้ำลดตอผุด,,,The water recedes and the stumps emerge.,"The Thai proverb ""น้ำลดตอผุด"" translates to ""When the water recedes, the stumps appear."" It means that when a situation calms down or problems are resolved, hidden issues or truths are revealed. For an image, you might depict a scene of a river or lake with water levels dropping, exposing tree stumps or other hidden objects beneath the surface.",1957.png
น้ำสั่งฟ้า ปลาสั่งฝน,,,"Water orders the sky, fish orders the rain.","The Thai proverb ""น้ำสั่งฟ้า ปลาสั่งฝน"" translates to ""Water commands the sky, fish command the rain."" This proverb suggests that everything in nature is interconnected and that certain elements have influence over others. It implies a natural order and balance where each component plays a role in the larger system. For an image, you might depict a serene natural scene where water bodies like rivers or lakes seem to influence the sky above, perhaps with fish leaping or swimming in a way that suggests they have a connection to the falling rain.",1958.png
น้ำหนึ่งใจเดียวกัน,,,One Heart,"The Thai proverb 'น้ำหนึ่งใจเดียวกัน' translates to ""one water, one heart"" in English. It signifies unity and solidarity, emphasizing the importance of working together harmoniously towards a common goal. The imagery often associated with this proverb includes people joining hands, a single flowing river, or intertwined hearts, symbolizing collective strength and shared purpose.",1959.png
นิ้วไหนร้ายก็ตัดนิ้วนั้น,,,Cut off the finger that is bad.,"The Thai proverb ""นิ้วไหนร้ายก็ตัดนิ้วนั้น"" translates to ""Cut off the finger that is bad."" It suggests that if a part of something is causing problems or harm, it is better to remove that part to prevent further issues. This can be applied to various contexts, such as relationships, organizations, or personal habits, where eliminating the problematic element can lead to overall improvement and well-being. 
 
 For an image representation, you might visualize a hand with one finger highlighted or marked for removal, symbolizing the act of cutting off the problematic part to preserve the health of the whole.",1960.png
นุ่งลมห่มฟ้า,,,Wearing the wind and the sky,"The Thai proverb ""นุ่งลมห่มฟ้า"" (nung lom hom fa) translates to ""wearing the wind and covering oneself with the sky."" It describes someone who is extremely poor, to the point where they have no proper clothing or shelter, relying only on the natural elements for cover. An image based on this proverb might depict a person standing in an open field or under the vast sky, with minimal or tattered clothing, symbolizing their dire financial situation and reliance on nature for protection.",1961.png
แน่เหมือนแช่แป้ง,,,As sure as if soaked in flour,"The Thai proverb ""แน่เหมือนแช่แป้ง"" translates to ""as certain as soaking flour."" It conveys the idea of something being very certain or guaranteed, much like how flour will inevitably absorb water when soaked. An image representing this proverb could depict a bowl of flour being soaked in water, symbolizing the certainty and inevitability of the process.",1962.png
บนบานศาลกล่าว,,,Vow to the shrine,"The Thai proverb ""บนบานศาลกล่าว"" (Bon Ban San Klao) refers to the act of making a vow or promise to a deity or spirit in exchange for a favor or blessing. It often involves a ritual or offering at a shrine or sacred place. The imagery for this proverb could include a person kneeling or praying at a traditional Thai shrine, with offerings such as flowers, incense, or food placed before a statue or spirit house. The scene might be set in a serene, spiritual environment, highlighting the cultural and religious significance of the act.",1963.png
บอกเล่าเก้าสิบ,,,Tell me ninety,"The Thai proverb ""บอกเล่าเก้าสิบ"" (bok lao kao sip) translates to ""telling ninety stories"" in English. It refers to the act of sharing detailed information or gossip, often with embellishments. The imagery for this proverb could include a person animatedly talking to a group, with various scenes or stories depicted around them, symbolizing the multitude of tales being shared.",1964.png
บอกหนังสือสังฆราช,,,Tell the patriarch's book,"The Thai proverb ""บอกหนังสือสังฆราช"" translates to ""teaching the scriptures to the Patriarch."" It means trying to teach something to someone who is already an expert in that field. The imagery for this proverb could include a wise, elderly monk or religious leader, perhaps holding ancient scriptures, while a younger, less experienced person attempts to instruct him. The setting might be a serene temple or a study filled with sacred texts, emphasizing the contrast between the novice and the expert.",1965.png
บัวไม่ช้ำ น้ำไม่ขุ่น,,,"The lotus is not bruised, the water is not cloudy.","The Thai proverb 'บัวไม่ช้ำ น้ำไม่ขุ่น' translates to 'The lotus remains unbruised, the water remains unclouded.' It signifies handling a situation delicately and tactfully so that no harm is done to anyone involved, and no trouble or disturbance is caused. The imagery involves a serene pond with a pristine lotus flower, symbolizing purity and harmony, and clear water, representing peace and clarity.",1966.png
บัวไม่ให้ช้ำ น้ำไม่ให้ขุ่น,,,"The lotus is not bruised, and the water is not cloudy.","The Thai proverb ""บัวไม่ให้ช้ำ น้ำไม่ให้ขุ่น"" translates to ""Don't bruise the lotus; don't muddy the water."" It means to handle situations delicately and maintain harmony without causing damage or disturbance. The imagery involves a serene pond with a pristine lotus flower and clear water, symbolizing the importance of preserving peace and beauty in relationships and environments.",1967.png
บ่างช่างยุ,,,Some are so provocative.,"The Thai proverb ""บ่างช่างยุ"" translates to ""a meddlesome person who stirs up trouble."" It describes someone who intentionally creates conflict or discord among others by spreading rumors or making provocative comments. An image representing this proverb might depict a person whispering into the ears of two others, causing them to argue or look suspiciously at each other.",1968.png
บ้านเกิดเมืองนอน,,,homeland,"The Thai proverb ""บ้านเกิดเมืองนอน"" translates to ""hometown"" or ""birthplace"" in English. It refers to the place where one was born and raised, evoking a sense of nostalgia, belonging, and deep emotional connection. An image representing this proverb might include a serene, picturesque village or town with traditional houses, familiar landscapes, and elements that evoke a sense of home and origin.",1969.png
บ้านเคยอยู่ อู่เคยนอน,,,"The house I used to live in, the garage I used to sleep in","The Thai proverb ""บ้านเคยอยู่ อู่เคยนอน"" translates to ""The house where one used to live, the cradle where one used to sleep."" It evokes a sense of nostalgia and attachment to one's roots or origins. The imagery could include a cozy, traditional home with a cradle or bed, symbolizing comfort, familiarity, and the warmth of one's upbringing. The scene might depict a serene, homely environment that evokes memories of childhood and the foundational aspects of one's life.",1970.png
บ้านแตกสาแหรกขาด,,,broken family,"The Thai proverb ""บ้านแตกสาแหรกขาด"" translates to ""a house broken, the lineage severed."" It describes a situation where a family is torn apart, leading to the breakdown of relationships and the disruption of family unity. The imagery for this proverb could include a house split in two, with family members separated and looking distressed, symbolizing the fragmentation and loss of familial bonds.",1971.png
บ้านนอกขอกนา,,,"Countryside, please","The Thai proverb ""บ้านนอกขอกนา"" translates to ""a rural village and its rice fields."" It evokes imagery of a simple, peaceful countryside life, characterized by traditional wooden houses, expansive green rice paddies, and a close-knit community living in harmony with nature. This proverb often symbolizes simplicity, tranquility, and the beauty of rural life.",1972.png
บ้านนอกคอกนา,,,A house in the countryside,"The Thai proverb 'บ้านนอกคอกนา' translates to ""a rural home and farm."" It describes a simple, rustic lifestyle associated with living in the countryside, away from the hustle and bustle of urban areas. The imagery typically includes traditional wooden houses, expansive rice fields, and a serene, natural environment. This proverb often conveys a sense of simplicity, tranquility, and a close connection to nature.",1973.png
บานปลาย,,,escalate,"The Thai proverb 'บานปลาย' (baan plai) translates to ""escalating"" or ""spiraling out of control"" in English. It describes a situation where something starts small but grows disproportionately large, often leading to complications or difficulties. For an image representation, you might depict a small initial problem or task that gradually expands into a chaotic or overwhelming scenario, symbolizing the unintended and excessive growth of the issue.",1974.png
บ้านเมืองมีขื่อมีแป,,,The town has rafters and beams.,"The Thai proverb ""บ้านเมืองมีขื่อมีแป"" translates to ""A country has its beams and rafters."" It means that a society or country has its own rules, laws, and structures that maintain order and stability, much like how beams and rafters support a house. For an image, you might depict a sturdy, well-constructed house with visible beams and rafters, symbolizing the underlying structure and order that keep it standing.",1975.png
บ้าหอบฟาง,,,Crazy,"The Thai proverb ""บ้าหอบฟาง"" (pronounced ""baa hop faang"") translates to ""crazy carrying straw"" in English. It describes someone who takes on too many tasks or responsibilities at once, often to the point of being overwhelmed or unable to manage them effectively. The imagery suggests a person frantically trying to carry an unwieldy bundle of straw, symbolizing the chaos and difficulty of juggling too many commitments.",1976.png
บ้าห้าร้อยจำพวก,,,Five hundred kinds of madness,"The Thai proverb ""บ้าห้าร้อยจำพวก"" translates to ""madness of five hundred kinds"" in English. It describes a situation where there is a great variety of craziness or irrational behavior, suggesting that madness can manifest in numerous, diverse ways. For an image, you might depict a chaotic scene with a multitude of different, eccentric characters each displaying unique forms of madness or irrationality, symbolizing the vast spectrum of craziness.",1977.png
บุกป่าฝ่าดง,,,encounter problems or difficulties,"The Thai proverb 'บุกป่าฝ่าดง' translates to ""to brave the jungle and thickets"" in English. It describes the act of facing and overcoming significant challenges or obstacles with determination and courage. The imagery involves navigating through dense, wild forests, symbolizing the effort and perseverance required to tackle difficult situations.",1978.png
บุญทำกรรมแต่ง,,,Merit is created by karma,"The Thai proverb ""บุญทำกรรมแต่ง"" translates to ""Merit makes, karma decorates."" It suggests that the good deeds (merit) one performs lay the foundation for one's life, while the consequences of one's actions (karma) shape and embellish it. For an image, you might depict a person planting seeds (representing good deeds) in a field, with the plants growing and being shaped by various elements like sunlight and rain (symbolizing karma).",1979.png
บุญมาวาสนาช่วย,,,Merit and good fortune help,"The Thai proverb ""บุญมาวาสนาช่วย"" translates to ""Fortune comes with merit and destiny's help."" It suggests that good fortune and success are often the result of one's accumulated good deeds (merit) and favorable destiny. An image to represent this proverb could include symbols of good luck, such as a shining star or a lucky charm, alongside imagery of people performing kind acts or making offerings, symbolizing the accumulation of merit.",1980.png
บุญมาวาสนาส่ง,,,The merit and good fortune that has been sent,"The Thai proverb ""บุญมาวาสนาส่ง"" translates to ""Good fortune and destiny come together."" It suggests that when someone experiences success or good luck, it is often due to a combination of their past good deeds (merit) and favorable destiny. For an image representation, you might depict a person standing at a crossroads with a bright, golden path ahead, symbolizing the convergence of good fortune and destiny guiding their way.",1981.png
บุญหนักศักดิ์ใหญ่,,,powerful,"The Thai proverb 'บุญหนักศักดิ์ใหญ่' translates to ""great merit and high status."" It describes someone who possesses significant virtue, moral merit, or good deeds, and as a result, holds a high social or spiritual status. An image representing this proverb could depict a person radiating a golden aura, symbolizing their virtue, standing on an elevated platform or pedestal, indicating their high status. Surrounding elements might include symbols of respect and reverence, such as people bowing or offering gifts, and traditional Thai cultural motifs to emphasize the context.",1982.png
เบาไม้เบามือ,,,portable,"The Thai proverb ""เบาไม้เบามือ"" translates to ""light hand, light touch"" in English. It means to handle a situation or a person gently and with care, avoiding harshness or aggression. The imagery for this proverb could include a person delicately holding a fragile object, such as a flower or a piece of glass, symbolizing the importance of being gentle and considerate.",1983.png
เบี้ยต่อไส้,,,A piece of bread,"The Thai proverb ""เบี้ยต่อไส้"" (Bia Tor Sai) translates to ""a coin for the intestines."" It describes a situation where someone is living hand-to-mouth, barely making enough to survive. The imagery for this proverb could include a person holding a single coin with a worried expression, perhaps with an empty plate or a sparse meal in front of them, symbolizing the struggle to make ends meet.",1984.png
เบี้ยน้อยหอยน้อย,,,poor,"The Thai proverb ""เบี้ยน้อยหอยน้อย"" translates to ""small money, small shell"" in English. It is used to describe a situation where someone has limited resources or means. The imagery suggests modesty and frugality, indicating that the person must manage with what little they have. An image representing this proverb might include a small coin and a tiny seashell, symbolizing the scarcity of resources.",1985.png
เบี้ยบน,,,The upper hand,"Certainly! The Thai proverb ""เบี้ยบน"" (Bia Bon) translates to ""upper cowrie"" in English. It refers to a situation where someone has the upper hand or advantage in a negotiation or conflict. The imagery for this proverb could include a traditional game board with cowrie shells, where one shell is positioned higher or more advantageously than the others, symbolizing dominance or a strategic upper hand.",1986.png
เบี้ยบ้ายรายทาง,,,incidental expenses,"The Thai proverb ""เบี้ยบ้ายรายทาง"" translates to ""small expenses along the way"" in English. It refers to the minor, often unexpected costs that accumulate during a journey or project. These small expenses, though individually insignificant, can add up over time and impact the overall budget or outcome. An image representing this proverb might include a traveler on a path, encountering various small tolls, fees, or incidental costs along the way.",1987.png
เบี้ยล่าง,,,underdog,"The Thai proverb ""เบี้ยล่าง"" (bia lang) translates to ""the lower pawn"" in English. It refers to someone who is at a disadvantage, subordinate, or in a weaker position in a situation, much like a pawn in a game of chess that holds less power compared to other pieces. An image representing this proverb could depict a chessboard with a single pawn positioned lower or in a less advantageous spot compared to other pieces, symbolizing its inferior status.",1988.png
เบี้ยหัวแตก,,,bit of money,"The Thai proverb ""เบี้ยหัวแตก"" (Bia Hua Taek) translates to ""broken-headed cowrie shell."" It refers to a situation where resources or efforts are scattered and wasted, leading to no significant outcome. The imagery for this proverb could include a broken cowrie shell with its pieces spread out, symbolizing the dispersal and inefficacy of efforts or resources.",1989.png
เบี้ยหัวแหลก,,,bit of money,"The Thai proverb ""เบี้ยหัวแหลก"" (Bia Hua Laek) translates to ""a broken-headed cowrie shell."" It refers to something that has lost its value or significance, much like a cowrie shell that is no longer whole and thus no longer useful as currency or decoration. The image to represent this proverb could include a broken cowrie shell, symbolizing the loss of worth or importance.",1990.png
แบกหน้า,,,Carrying the burden,"The Thai proverb ""แบกหน้า"" (pronounced ""baek naa"") translates to ""carry one's face"" in English. It means to maintain one's dignity or reputation despite facing difficult or embarrassing situations. The image could depict a person standing tall and composed, perhaps with a slight look of determination or resolve, even though they are surrounded by challenging or awkward circumstances. This visual representation would capture the essence of someone striving to uphold their honor and self-respect in the face of adversity.",1991.png
ใบ้กิน,,,Mute eater,"The Thai proverb ""ใบ้กิน"" (bai gin) translates to ""the mute eats"" in English. It describes a situation where someone is rendered speechless or unable to respond, often due to shock, embarrassment, or being caught off guard. The imagery for this proverb could depict a person with a surprised or stunned expression, perhaps with their mouth slightly open as if they are at a loss for words.",1992.png
ใบ้แดก,,,Dumb ass,"The Thai proverb ""ใบ้แดก"" (bai daek) translates to ""struck dumb"" or ""speechless"" in English. It describes a situation where someone is so shocked, surprised, or overwhelmed that they are unable to speak. The imagery for this proverb could include a person with a stunned expression, perhaps with their mouth slightly open but no words coming out, set against a backdrop that suggests an unexpected or astonishing event.",1993.png
ใบไม้ร่วง,,,Falling leaves,"The Thai proverb ""ใบไม้ร่วง"" translates to ""Falling leaves"" in English. This proverb often symbolizes the natural cycle of life, change, and the passage of time. It can also represent the idea of letting go of the old to make way for the new, much like how trees shed their leaves in autumn to prepare for new growth in the spring. An image based on this proverb might depict leaves gently falling from a tree, illustrating the serene and inevitable process of change and renewal.",1994.png
ปรบมือให้,,,applaud,"The Thai proverb ""ปรบมือให้"" translates to ""Clap your hands"" in English. It is often used to signify giving praise, showing approval, or expressing appreciation for someone's actions or achievements. The imagery associated with this proverb would typically involve people clapping their hands, smiling, and showing positive emotions, often directed towards an individual or a group who has done something commendable.",1995.png
ปลดแอก,,,liberate,"The Thai proverb ""ปลดแอก"" (pronounced ""plot aek"") translates to ""remove the yoke"" in English. It symbolizes liberation or freedom from oppression, burdens, or constraints. The imagery often associated with this proverb includes a person or animal being freed from a heavy yoke or harness, signifying the release from something that has been holding them back or weighing them down.",1996.png
ปลอกคอ,,,collar,"The Thai proverb ""ปลอกคอ"" (pronounced ""plok-kor"") translates to ""collar"" in English. It symbolizes control or restriction, much like how a collar is used to control an animal. The proverb is often used to describe a situation where someone is being controlled or restricted by another person or by circumstances. 
 
 For an image based on this proverb, you might depict a person wearing a collar, possibly with a leash held by another person, to visually represent the idea of control and restriction.",1997.png
ปล่อยนกปล่อยกา,,,Release the birds and crows,"The Thai proverb 'ปล่อยนกปล่อยกา' translates to ""release the birds"" in English. It symbolizes the act of setting something or someone free, often associated with the idea of letting go of worries, problems, or burdens. The imagery typically involves a person opening a cage or their hands to allow birds to fly away, representing liberation and the act of giving freedom.",1998.png
ปล่อยปลาลงน้ำ,,,Release fish into the water,"The Thai proverb 'ปล่อยปลาลงน้ำ' translates to 'release a fish into the water' in English. This proverb symbolizes the act of helping someone or giving something to someone in a way that is natural and beneficial for them. It suggests doing good deeds that align with the recipient's needs and environment, much like releasing a fish back into its natural habitat where it can thrive.",1999.png
ปล่อยเปรต,,,Release the ghosts,"The Thai proverb ""ปล่อยเปรต"" (pronounced ""ploy pret"") translates to ""release the hungry ghost"" in English. It refers to the act of letting go of something or someone that is causing trouble or harm, similar to releasing a malevolent spirit. In a visual representation, you might depict a person opening a cage or a door, allowing a ghostly, emaciated figure to float away, symbolizing the act of freeing oneself from a burdensome or negative influence.",2000.png
ปล่อยผี,,,Release the ghost,"The Thai proverb ""ปล่อยผี"" (pronounced ""ploy pee"") translates to ""release the ghost"" in English. It is often used to describe a situation where someone lets go of their inhibitions or behaves wildly and uncontrollably, akin to releasing a spirit or ghost that then causes chaos. The imagery for this proverb could include a person or figure releasing a ghostly, ethereal entity into the world, symbolizing the unleashing of pent-up emotions or actions.",2001.png
ปล่อยลูกนกลูกกา,,,Release the baby crows,"The Thai proverb ""ปล่อยลูกนกลูกกา"" translates to ""release the baby birds"" in English. It conveys the idea of letting go or setting someone free to find their own way, often used in the context of allowing children or dependents to become independent. An image based on this proverb might depict a person opening their hands to release small birds into the sky, symbolizing freedom and the beginning of a new journey.",2002.png
ปล่อยเสือเข้าป่า,,,Release the tiger into the forest,"The Thai proverb ""ปล่อยเสือเข้าป่า"" translates to ""Letting the tiger back into the forest."" It means allowing a dangerous person or situation to return to a place where they can cause harm or trouble again. The imagery involves a tiger, symbolizing danger or a threat, being released back into its natural habitat, where it can roam freely and potentially pose a risk.",2003.png
ปล่อยเสือเข้าป่า ปล่อยปลาลงน้ำ,,,"Release tigers into the forest, release fish into the water.","The Thai proverb ""ปล่อยเสือเข้าป่า ปล่อยปลาลงน้ำ"" translates to ""Release the tiger into the forest, release the fish into the water."" This proverb means allowing someone or something to return to their natural environment or to a place where they belong and can thrive. It suggests that things or people are best suited to their natural or rightful place, where they can live freely and be most effective. 
 
 For an image representation, you might depict a scene where a tiger is being released into a dense, lush forest and a fish is being released into a clear, flowing river. The background should emphasize the natural habitats, with the forest being vibrant and full of trees, and the river being clean and full of life.",2004.png
ปลาข้องเดียวกัน,,,Fish in the same trap,"The Thai proverb ""ปลาข้องเดียวกัน"" translates to ""fish in the same basket."" It means people who are in the same situation or share the same fate. For an image, you could depict a group of fish confined together in a single basket, symbolizing their shared circumstances.",2005.png
ปลาติดร่างแห,,,Fish caught in a net,"The Thai proverb 'ปลาติดร่างแห' translates to 'fish caught in a net' in English. It describes a situation where someone is trapped or caught in a difficult or inescapable situation, much like fish that are ensnared in a fishing net. The imagery typically involves fish struggling within the confines of a net, symbolizing entrapment and lack of freedom.",2006.png
ปลาติดหลังแห,,,Fish caught in a net,"The Thai proverb ""ปลาติดหลังแห"" translates to ""a fish caught in a net"" in English. It describes a situation where someone is trapped or caught in a difficult or inescapable situation, much like a fish that is ensnared in a fishing net and cannot free itself. The imagery evokes a sense of entrapment and helplessness.",2007.png
ปลายอ้อปลายแขม,,,Tip of a reed,"The Thai proverb ""ปลายอ้อปลายแขม"" (pronounced ""plai aw plai kham"") translates to ""the tips of reeds and rushes"" in English. It metaphorically refers to something that is delicate, fragile, or easily swayed, much like the tips of reeds and rushes that bend with the slightest breeze. This proverb is often used to describe a situation, person, or thing that is not stable or is easily influenced by external factors. 
 
 For an image based on this proverb, you might depict a serene natural scene with tall, slender reeds and rushes gently bending in the wind by the edge of a calm body of water, emphasizing their delicate and flexible nature.",2008.png
ปลาหมอตายเพราะปาก,,,The fish dies because of its mouth.,"The Thai proverb ""ปลาหมอตายเพราะปาก"" translates to ""The snakehead fish dies because of its mouth."" It means that people often get into trouble because of what they say. The image could depict a snakehead fish with its mouth open, perhaps in a way that suggests it is speaking or making noise, and facing some form of danger or consequence as a result.",2009.png
ปลาหมอแถกเหงือก,,,Gill-slitting fish,"The Thai proverb ""ปลาหมอแถกเหงือก"" translates to ""a climbing perch scraping its gills."" It describes a situation where someone is struggling or making a desperate effort to survive or escape a difficult situation. The image to represent this proverb could depict a fish, specifically a climbing perch, appearing to be in distress or making a strenuous effort, perhaps against a challenging environment like a dry or rocky surface.",2010.png
